Timestamp,Who is your favorite music artist (broadly defined)?,What physical height would you like to be?,"If you had to live in the city, but could pick any city in the world, what city would you live in?","If you could have 30 minutes to talk with any person, living or dead, who would you pick?","If you could travel to any location in the world for vacation, where would you go?",On a scale of 1 (gross) to five (awesome) how much do you like pizza?,Is Chicago-style deep dish actually pizza or is it really casserole?,What sport do you most enjoy watching?,Which is the most difficult to spell? ,What is the optimal number of people to hang out with?,Do you think you talk more or less than the average person?,"If you had a time machine and could visit any year you like, which year would you pick?",What's you favorite inspirational quote? You don't need to do this from memory. Feel free to look something up and then paste it in here. ,What is the area code of your phone number? ,What pet(s) did you have as a child?,"If you had to have one superpower, what would if be?",How many different pairs of shoes have you worn in the last week?
1/7/2022 10:52:48,Owl City,6'1,London,Lin Manuel Miranda,Italy,5.0,pizza,,hors d'oeuvre,2,More,I wouldn't want to,"""Despite everything, it's still you""",779,"Hamster, Cats",Change Probabilty,3
1/7/2022 11:07:10,Maggie Rogers,"5' 5""",Barcelona,Betty White,Peru,4.0,casserole,Soccer,lieutenant,4,Less,January 2020,"With every inhale, I breathe in relaxation and with every exhale, I release anxiety.
My mom used to send me cheesy morning mantras and this was my favorite.",608,"I have had many pets. My first pet was a beagle named Spencer. I then had a few hermit crabs, a goldfish, and a boston terrier named Toby.",I would want to be able to teleport.,Probably around 6 (including my slippers)
1/7/2022 20:35:25,dodie (indie pop),"5'6""",london,jesus,"british isles, or nordic territories",4.0,no opinion,ski jumping,hors d'oeuvre,3,Less,1980s,"""It has long been an axiom of mine that the little things are infinitely the most important."" - Arthur Conan Doyle",224,5 hamsters and 3 beta fish,invisibility,4 (all converse)
1/8/2022 9:06:08,Bruno Mars,6’0”,"Austin, Texas",Michael Jordan ,Hawaii ,4.0,pizza,Football,hors d'oeuvre,,Less,3030,,309,Dog,Ability to fly ,4
1/9/2022 14:35:44,Conan Gray or Mxmtoon,"6'0""",Seoul,My dad,"Nice, France",4.0,casserole,Roller derby,liasion,3,Less,1980,"""Go be eternal.""",423,"Two dogs, two rabbits, multiple fish, a gecko, a guinea pig, and a frog (sadly)",The ability to transform my features,Two
1/10/2022 10:27:23,Probably like Juice World,6 foot 1 ,"Tampa, FL",Kobe Bryant,Bahamas,3.0,pizza,Either Basketball or Football,hors d'oeuvre,4 or 5,Less,1980,"""Nothing is impossible, the word itself says I'm possible.""",309,I had two dogs as a child,Super speed,3 or 4
1/10/2022 10:36:48,The Weeknd,6'1,"Venice, Italy",My grandpa,"Paris, France",4.0,casserole,soccer,daiquiri,2 others,More,2500,"There is always someone looking up to you, you just don't know it",309,"4 dogs, 2 cats",to fly,4
1/11/2022 13:07:43,the rolling stones,"5'6""",Chicago,my grandpa,Ireland,5.0,pizza,volleyball,hors d'oeuvre,6,Less,1985,"Success is not final, failure is not fatal: it is the courage to continue that counts",630,"dog, hamster, fish",fly,4
1/11/2022 18:57:23,Coldplay,5'8'',Copenhagen,Pope Francis,Switzerland,5.0,pizza,Olympic swimming,hors d'oeuvre,2/3,Less,"To be very specific, France in 1938","It is not the critic who counts; not the man who points out how the strong man stumbles, or where the doer of deeds could have done them better. The credit belongs to the man who is actually in the arena, whose face is marred by dust and sweat and blood; who strives valiantly; who errs, who comes short again and again, because there is no effort without error and shortcoming; but who does actually strive to do the deeds; who knows great enthusiasms, the great devotions; who spends himself in a worthy cause; who at the best knows in the end the triumph of high achievement, and who at the worst, if he fails, at least fails while daring greatly, so that his place shall never be with those cold and timid souls who neither know victory nor defeat. (Theodore Roosevelt)",309,"a dog, specifically a yellow lab",invisibility,3
1/18/2022 15:12:50,Eric Church,"6'4""",Chicago,Alan Watts,Australia,5.0,pizza,Basketball,hors d'oeuvre,3,More,2070,"""Fools stand on their island of opportunities and look toward other land. There is no other land; there is no other life but this."" -Henry David Thoreau",630,Dog,Super Strength,3
6/6/2022 4:49:54,Bruno Mars,6'1,Paris,Cristiano Ronaldo,Mykonos,3.0,pizza,Soccer,hors d'oeuvre,5,Less,,"""The way I see it, if you want the rainbow, you gotta put up with the rain.""",309,2 dogs,Ability to control any electronic or digital device,2 pairs
6/6/2022 9:03:48,Stella Jang,The one I am at right now,Paris,Da Vinci ,Japan,3.0,pizza,Ice skating ,hors d'oeuvre,4,Less,I'd be interested in any years that are in the future to come,"“Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.”
― Albert Einstein",708,A golden retriever ,Ability to refill anything,2
6/6/2022 10:43:19,heat waves,6'4,Scottsdale,Elon Musk,Cabo San Lucas,5.0,pizza,football,lieutenant,3,More,1990,""" But be doers of the word, and not hearers only """,309,dog,teleportation,4
6/6/2022 12:27:36,Meek Mill,7 foot 1 ,Berlin,Jesus Christ,Colorado/Australia,5.0,pizza,Football,hors d'oeuvre,5,Less,2019,"""The secret of getting ahead is getting started"" - Mark Twain",224,Dog and Fish,Mach 10 Flying,2
6/6/2022 18:12:23,The Crane Wives,"7'2""",Ontario,Van Gogh,Barcelona,4.0,casserole,"None, I don't like sports",hors d'oeuvre,0,Less,The year animals began to form on Earth,"If you cover your feet with a blanket at night, the turtles can't get you",309,8 barn cats and 1 dog,Being the only one able to move an object of my choice (Similar to Thor's Hammer),4
6/6/2022 22:19:21,Kendrick Lamar,6’2”,Lusaka ,My Grandma,Bali,5.0,no opinion,Soccer,hors d'oeuvre,3,Less,2016,What many people don’t realize is that they do so many things in life to try and succeed as opposed to fulfilling a purpose.,260,A dog and a cat,Mind control,3
6/6/2022 22:42:06,kanye,I like being 5 10,Chicago love my city,Alexander the great,Bahamas,5.0,pizza,Football,hors d'oeuvre,7,More,2019 so I can prepare my past self,Do the hard work especially when you don't want to ,708,two gold fish,Gravity control,3
8/22/2022 15:56:03,Erykah Badu,5'7,New Orleans,My grandmother who passed of cancer,France,5.0,pizza,Football,hors d'oeuvre,4,Less,1990,"""If life gives you lemons, don't make lemonade...throw them at your enemies""",504,I had two dogs during my childhood,Telepathy,2
8/25/2022 11:13:55,Radiohead,6 feet,"Seattle, Washington",Alan Watts,"Dubai, UAE",5.0,pizza,Competitive Video Gaming,daiquiri,2,More,1963,“The computer was born to solve problems that did not exist before.” - Bill Gates,407,"Dog, Guinea pig, Fish",Telekinesis,2
8/27/2022 12:51:57,Classsic Rock or Rap,6 foot 4,London,Franklin Delano Roosevelt ,Greece,5.0,pizza,Baseball,hors d'oeuvre,5,More,1982,"“Opportunities don't happen, you create them.” - Chris Grosser",847,2 Dogs and one Cat,Super Intelligence ,2
8/28/2022 19:21:31,Selena Quintanilla,5' 5,Puerto Vallarta,Maya Angelou,Bora Bora,5.0,pizza,Ice Skating ,daiquiri,4,Less,2017,“Be the change that you wish to see in the world.” ,815,1 dog (Maltese and Chihuahua mix),super strength ,5
8/28/2022 21:24:31,Drake,6'3,Tokyo,Arnold Palmer,Gibbons Canada,5.0,pizza,Golf,hors d'oeuvre,5,Less,2016,If you knew you couldn't play tomorrow how hard would you have played today  ,630,"Cats, Birds, Turtle, Fish.",To see into the future,9
8/28/2022 21:43:01,The Weeknd,5'8,Seattle,My ancestors ,Greece,5.0,pizza,soccer,lieutenant,3,Less,1980s,"""A boat is safe in the harbor, but this is not the purpose of a boat."" - Paulo Coelho ",309,A dog,Stop Time ,3
8/29/2022 12:16:57,Rock/Alternative Rock,"5'9"" ",Chicago,Shinzo Abe,Japan,5.0,pizza,Esports,hors d'oeuvre,4 total,More,1984,Life goes on,504,Dogs,Flight,1
8/29/2022 13:40:26,Guns N Roses,6'7,Manchester,Dwyane Wade,Bali,5.0,pizza,Football,hors d'oeuvre,5,Less,2100,"We all have self-doubt. You don’t deny it, but you also don’t capitulate to it. You embrace it.   -Kobe Bryant",309,"English Bulldog, Shih Tzu",Teleportation,3
8/29/2022 15:16:11,Zach Bryan,6'3,New York,Michael Jordan,Cancun,4.0,pizza,Basketball ,hors d'oeuvre,3,Less,1920,Hard work beats talent when talent fails to work hard,630,Dog,Superspeed,
8/29/2022 15:28:41,KPop,5'8,Seoul,,South Korea,3.0,no opinion,basketball,hors d'oeuvre,7,More,2001,"Work hard in silence, let success make the noise.",224,dog,time travel,2
8/29/2022 15:30:25,David Byrne,"6""0",New York,Van Gogh,New Zeland ,5.0,no opinion,Ice Hockey,accommodate,3,More,1890,"My mother told me to be a lady. And for her that meant be your own person, be independant. -Ruth Bader Ginsburg ",847,I had a dog and two fish ,Invisability ,2
8/29/2022 16:22:00,Frank Sinatra,6'9,Dubai,Jesus Christ,Greece,5.0,pizza,Baseball,lieutenant,7,More,1969,Speak softly and carry a big stick,773,Dog,Teleportation,4
8/29/2022 16:53:48,The Hu,393 ft,Tokyo,Gottfried Leibniz,Greenland,4.0,pizza,Baseball,hors d'oeuvre,9085,Less,1000,"""Whatever you do give 100% unless you're donating blook"" - Bill Murray",309,"Dog, Cat, Fish",Gravity manipulation,2
8/29/2022 18:08:28,Polo G,6'6,Chicago,Steph Curry,I would love to go and check out somewhere in Europe,4.0,pizza,Eat Breathe and Sleep Basketball,lieutenant,3,More,I'd go as far in the future as I could to see how the human race has advanced/if we are even alive,"Every time you are tempted to react in the same old way, ask if you want to be a prisoner of the past or a pioneer of the future",60134,Cat,To live forever,2
8/29/2022 19:02:56,ariana grande,5'8,athens ,johannes brahms,,,pizza,wrestling,hors d'oeuvre,4,More,1999,"Be kind, for everyone you meet is fighting a harder battle",312,a dog,mind reading,3
8/29/2022 19:11:48,Country Artists,6'3,New York City,Inky Johnson,Maui,5.0,pizza,Football,daiquiri,5,Less,2016,You have to be odd to be number one,224,Cat,Be able to time travel,4
8/29/2022 19:15:10,Morgan Wallen,"6'6""",Nashville,Jordan Belfort,Scotland,5.0,no opinion,Baseball,hors d'oeuvre,5,More,2050,“Be yourself; everyone else is already taken.” ― Oscar Wilde.,815,Dogs and Cats,Immortality,4
8/29/2022 19:40:30,Set it Off,5'6,Chicago,Tom Hiddleston,Madrid,3.0,pizza,Soccer,hors d'oeuvre,2,Less,1700,Today is your opportunity to build the tomorrow you want,224,"Cats, Parrokeets, Turtles, Fish, Chickens. Lizards, ",Flying,4
8/29/2022 19:58:26,The Weeknd,5'8',"Venice, Italy",King Tut,Greece,4.0,pizza,Volleyball,hors d'oeuvre,2,Less,0,"""Things that are built to last are not built fast""",224,2 fish and 2 turtles,Flying,5
8/29/2022 20:13:33,Jason Andean ,10’0”,Bucharest ,Jesus ,Alaska ,5.0,pizza,"Football(the real Football, not the crap called soccer)",hors d'oeuvre,5,More,2080,"“It’s not about the size of the dog in the fight, it’s about the fight in the dog” ",309,"A White Bellied Caique Parrot(Piper), and two Cockatiels(Petey and Charlie)",Matter Manipulation ,3
8/29/2022 20:21:51,Summer Walker,5'5,Seattle,Emanuel Benjamin,Barbados,5.0,no opinion,Football,hors d'oeuvre,4,More,2019,Resist your fear; fear will never lead to a positive outcome ,504,Fish,Ability to know people's true intentions,4
8/29/2022 20:45:35,Scriptonite,180cm,Manhattan,Elon Musk,Miami,3.0,no opinion,Table tennis,hors d'oeuvre,5,Less,2010,It is not a limit.,929,Parrot,Invisibility,3
8/29/2022 21:53:31,The Weeknd; Kendrick Lamar; ,5'7'',"Copenhagen, Denmark",Leonardo da Vinci or Charles Darwin,"Definitely, Paris! ",3.0,no opinion,Basketball,daiquiri,3,Less,2010,Success is peace of mind which is a direct result of self-satisfaction in knowing you did your best to become the best you are capable of becoming - John Wooden,996,I've never had any pets :( Hopefully I will get one when I have my own apartment.,Portal manipulation,5
8/29/2022 21:57:15,"changes often, is currently Jukebox the Ghost","1.87 m or 6' 1.5""",Right now? Bloomington-Normal,"If language barrier is not an issue, then Pierre de Fermat. If it is, then I think I'd just wanna hang out with Wolfe Glick","I don't care where I go, people are what make a vacation for me.",4.0,pizza,"As a track runner, I have the most fun watching track.",hors d'oeuvre,"Totally depends on what we're doing, so I will arbitrary say we are playing the board game Secret Hitler, which is most fun with 10 people.",Less,2024,Look up,815,"cats, dogs, chinchillas, rabbits, ducks, chickens, turtles, fish, a rat, guinea pigs, that's all I can remember right now","The power to manipulate probability (e.g. ""what's the probability of finding $1 million on my desk right now? 0%? Let's make that 100%)",6
8/29/2022 22:31:07,Chief keef,6’4,Tokyo,Jesus,Italy,3.0,casserole,Football,hors d'oeuvre,4,More,1945,,309,2 cats and a dog,Read peoples minds,2
8/29/2022 22:56:17,Tame Impala,"5""6","Lausanne, Switzerland",J. Casey Clapp,Swiss Alps,4.0,pizza,soccer,accommodate,5,Less,1022,"When the swags this incredible, them racks are inevitable. ",309,"dogs, fish",flight,5
8/30/2022 8:43:20,Regina Spector,"5""4'",Ann Arbor MI,Jane Austin ,Ireland,5.0,pizza,Football,hors d'oeuvre,4,More,1835,"""I Declare there is no enjoyment like reading""",309,none,flying ,5
8/30/2022 9:18:08,,,South of France,,Florence,2.0,pizza,,hors d'oeuvre,,Less,,,,,fly,4
8/30/2022 10:38:25,Crumb and The Strokes equally,"Just a few centimeters taller, Im right under 5'7""",Dubai,John Frusciante,New Zealand,3.0,no opinion,baseball,hors d'oeuvre,2,Less,2032,"""Fuck it""",708,"My current shih-tzu, Buddy",teleportation,Like 5
8/30/2022 10:59:42,Red Hot Chili Peppers ,6’3”,"Vancouver, I really enjoy the city and there is a ton of good food.","Mark Zuckerberg, so I could find out if he is a reptile. ","South Korea or Japan, I have been to lots of Europe but never Asia",4.0,pizza,"MMA for sports, Esports for ""sports""",hors d'oeuvre,Depends of what you are doing.  But I would say even numbers are good.,Less,2100,"""You miss 100% of the shots you don't take - Wayne Gretzky"" - Michael Scott",309,"Dogs, cats, rats, chickens",Super Luck,3
8/30/2022 14:01:52,Electric Light Orchestra,6'2,Oslo,Jesus,The south pole,5.0,casserole,Basketball,daiquiri,5,More,2024,"""I wondered if I could ever be good, and then I thought, let's find out"" - Kobe Bryant",267,Cat,Immortality,10
8/30/2022 16:34:30,The Weeknd,6'1,"Amalfi, Italy",My great grandfather ,"Athens, Greece ",5.0,casserole,Soccer,daiquiri,3,More,3000,"Appreciate something you have today that your past self would be impressed by, even if it feels normal now",309,Dogs and Cats,to Fly,5
8/30/2022 16:56:57,Claude DeBussy,5 foot 8,Dublin,Napoleon Bonaparte,Ireland,5.0,pizza,Chess - Boxing,hors d'oeuvre,1-3 depending on the situation,Less,1972 ( Bobby Fischer vs Boris Spassky - Pure class) ,"If you don't believe in yourself, how can others? (paraphrased)",512,A cat named rabbit and a bunny named cat, Read minds,2
8/30/2022 16:59:32,Chain Station,6'5,Denver,Adam Wainwright,Bora Bora,5.0,pizza,Baseball,hors d'oeuvre,8,More,2011,"""You define your own life. Don't let other people write your script.""",309,Fish and dogs,Invincibility,5
8/30/2022 17:00:37,Bjork?,6',Bangkok,"An old best friend of mine, Keshawn",Any place with a 5* nude resort and trees probably ,5.0,pizza,MMA (or eSports),hors d'oeuvre,1,More,1928 - THE roaring 20s ,Let's go in the garden -- You'll find something waiting -- Right there where you left it -- Lying upside down...  Everything Stays,309,Two dogs: Dixie and Flo,Mind control/transfer,5
8/30/2022 18:20:03,Autechre,"5'10""",Chicago,Kanye West for the most interesting and unhinged conversation of my life,Tokyo,5.0,pizza,American Football,hors d'oeuvre,3,Less,2030,"""Be the change you want to see in the world""",903,,Super speed,Three
8/30/2022 20:29:08,Selena Gomez,5'8,Denver,My late grandfather,Iceland,3.0,pizza,Cricket,hors d'oeuvre,4,More,3500,Be the change you wish to see in the world,406,"Turtle, Fish",Travel anywhere anytime,5
8/31/2022 10:29:57,Rock,"6'9""",St. Louis,J. Robert Oppenheimer,Germany,2.0,casserole,Basketball,hors d'oeuvre,5,More,1984,"That is only comes once, Is what makes life so sweet",314,"Dogs, Fish, Snake",Flying,2
8/31/2022 10:33:12,Franco De Vita (Spanish singer),4'11,Paris,My grandpa (mom's side),Bora Bora,3.0,casserole,,hors d'oeuvre,7,Less,2015,"“When we strive to become better than we are, everything around us becomes better too.” — Paulo Coelho",312,I had a cat,Shapeshifter,5
8/31/2022 14:01:06,,"6'2""",,,,4.0,pizza,baseball,hors d'oeuvre,5,More,,f*ck it we ball,630,Dog,Super speed,4
8/31/2022 19:15:46,Country,6 ft,"Austin, TX",Michael Jordan ,Hawaii,3.0,casserole,Football ,hors d'oeuvre,4,Less,3030,"Opportunities don't happen, you create them",309,1,Teleportation,4
8/31/2022 22:08:18,,5'10,,,,5.0,pizza,Basketball,hors d'oeuvre,4,Less,3000,,901,,Super Speed,2
1/4/2023 17:14:31,"Arjit Singh, he's an Indian singer and has carried Bollywood.",5'7,San Francisco,Sadhguru (Jaggi Vasudev),"Kyoto, Japan",5.0,pizza,"Tennis, I enjoy watching it because I play it.",hors d'oeuvre,2 not including me.,Less,1920,“The same boiling water that softens the potato hardens the egg. It’s what you’re made of. Not the circumstances.” —Unknown,309,I had a fish that was gifted to our family by our real estate agent who's last name was fish. I also had a dog that ran away.,The ability to influence time.,3
1/13/2023 10:32:48,The Neighborhood,5'3,Chicago,My maternal grandpa,Bolivia to see the salt flats,4.0,pizza,Basketball,lieutenant,4,More,2050,"""Enjoy life. There's plenty of time to be dead."" -Hans Christian Anderson",773,"Bird, dog, cats, bunny, fish, turtles, guinea pigs, hamsters",Teleportation,4
1/13/2023 13:08:54,Mac Miller,6'1,,Zlatan Ibrahimovic,Sicily,4.0,no opinion,Soccer,hors d'oeuvre,10,More,1776,"""Why so serious""- The Joker",858,dogs,super speed,4
1/13/2023 13:10:09,Lizzo,5'5,Paris,my grandfather,greece,5.0,pizza,baseball,daiquiri,3,More,1912,be the person your dog thinks you are,847,dogs,healing,3
1/13/2023 13:13:56,A boogie,6'3,somewhere in the carolinas,Kevin Durant,To my friends house in Leeds,5.0,pizza,Basketball,lieutenant,4,More,2016,"""If at first you don't succeed, try, try, try, again.""",309,A dog- bichon poodle,Teleportation,2
1/13/2023 13:17:04,Frank Sinatra,"6'2""",Barcelona,Albert Einstein,South Africa,5.0,pizza,Soccer,hors d'oeuvre,2,Less,1985,Surround yourself with excellence,224,dog ,teleportation,6
1/13/2023 13:26:28,lanyard skynyrd,6'2,fort myers,tom petty,hawaii,5.0,pizza,basketball,daiquiri,5,More,1970s,Those who can't do teach those who can't teach teach gym. - Dewy Fin (Jack Black),312,none,flying,3
1/13/2023 13:30:16,Rap: Trippie Redd R&R: Van Halen,"6'2""","Boulder, Co",MLK or Freddie Mercury ,"Saint-Fabien, Québec",5.0,pizza,Golf or CSGO (esports is a sport),hors d'oeuvre,3,Less,1943,"The same boiling water that makes a potato soft hardens an egg, don't let your environment dictate you, dictate your environment.",309,"dogs, guinea pigs, fish",flying,3
1/13/2023 13:34:55,Anees ,6 ft is always ideal ,New York,Mathew Mcconaughey,Spain,5.0,pizza,Football,hors d'oeuvre,4 to 6 it's gotta be an even number,More,1990's,"""alright alright alright"" - Mathew Mccaunaughey",815,2 dogs ,Teleporting,5 pairs 
1/13/2023 13:36:10,Unknown,Ideally 6'3-4,Unknown,Kobe Bryant,The Colosseum of Rome,5.0,pizza,American Football,hors d'oeuvre,3-5,Less,2500,"""I done wrestled with an alligator"" - Muhammed Ali or more so that whole interview",815,I have had a couple cats throughout my life and currently have a dog and a cat.,Telekinesis would be cool ,4
1/13/2023 13:36:25,Lil Uzi,6'10,Venice,My grandma,Italy,5.0,pizza,Basketball,lieutenant,2,Less,1985,bruh,815,"Dogs, cats",Stopping Time,2
1/13/2023 13:37:27,,"5' 5""",London,,Bora Bora,5.0,pizza,Gymnastics,hors d'oeuvre,3,Less,,,815,Dogs and cats,Flying,2
1/13/2023 13:37:29,Matthew West ,"5'9""","Sydney, Australia ",Abraham Lincoln ,Australia ,5.0,no opinion,baseball ,hors d'oeuvre,4,More,"Ancient Greece, 300BC ","""Live simply, love generously, care deeply, speak kindly, and leave the rest to God."" Ronald Reagan ",,"Dogs, Fish ",Flying ,5
1/13/2023 13:42:06,the weeknd,"5'6""",New York City,Zendaya,"Dubai, UAE",5.0,no opinion,Football,hors d'oeuvre,3,Less,2011,"""Wherever the art of medicine is loved, there is also a love of humanity."" - Hippocrates",309,none,teleportation,3
1/13/2023 13:44:46,Drake,6'4,Sacramento (Lake Tahoe),George S. Patton,Dubai,5.0,pizza,Playoff Basketball,hors d'oeuvre,3,Less,1985,"""You just can't beat the person who won't give up.""",708,"Dogs, Fish",telepathy,4
1/13/2023 13:45:29,Morgan Wallen,"6'3""","Normal, IL",Abe Lincoln,Australia,5.0,pizza,Football,hors d'oeuvre,4,Less,3000,"""just do it"" -Nike",309,Dogs,Never needing to sleep,2
1/13/2023 13:46:57,The Eagles,5'2,Indianapolis,My mom...jk my grandma,"San Benedetto Del Tronto, Italy",4.0,pizza,Baseball,hors d'oeuvre,1-2,More,1920,"""It's all water off a ducks back""",708,Fish,Fly,2
1/13/2023 13:49:40,The Weeknd at the moment,5'4,,,Amsterdam,5.0,no opinion,,daiquiri,3,Less,,,773,"I had a fish named ""Pepe.""",I would want to be able to freeze time.,4
1/13/2023 14:16:59,Dire Straits,6'3,Rome,Bryson DeChambeau,Ireland in the hillsides and on the coast,5.0,pizza,Football or Golf (specifically long drive),hors d'oeuvre,4,More,1945 Post WW2 or 1988 for concerts,Dedication is doing what you hate but acting like you love it - mike Tyson,630,I have had a few dogs and also a bearded dragon.,Intelligence so that was I can learn like Dr Strange and then be able to create anything like Tony Stark then learn the best reflexes,3
1/13/2023 14:17:11,21 Savage,I wanted to be 6'6 because I played basketball in college for 2 years.,"I would choose Dallas because my sister lived there for 5 plus years, so I am familiar with the area already",Larry Bird or Tupac,Japan. I have been wanting to go for awhile now.,5.0,pizza,Basketball and Football,daiquiri,3 plus me so 4,Less,I would choose the year 2200. Never going to the past.,"Hakuna Matata, or No man can win every battle, but no man should fall without a struggle (Spiderman)",847,I had fish,Super speed,4 or 5
1/13/2023 14:20:14,Glass Animals,5 foot 10 inches,"Carlsbad, California",Pat Tilman,Europe,4.0,no opinion,Soccer,hors d'oeuvre,5-10 people,Less,2050,"“Somewhere inside, we hear a voice. It leads us in the direction of the person we wish to become. But it is up to us whether or not to follow.” Pat Tilman",602,"Three dogs, two golden retrievers and a chihuahua ",Ability to see the future,3
1/13/2023 14:24:39,Surfaces,my height 6'4,Tokyo,Abraham Lincoln,Bali,5.0,pizza,Soccer,hors d'oeuvre,5,More,Babylonian era,"""Good is the enemy of greatness""-Andy Mineo",847,a fish and a hamster,super speed,5
1/13/2023 14:25:49,Zach Bryan,6'3,New York City,Robin Williams,Alaska,4.0,pizza,Football,hors d'oeuvre,4,Less,1400,You miss 100% of shots you never take,309,Guinea Pig and a dog,Super Strength,4
1/13/2023 14:28:29,"No specific artist, but I like country music",5 11,"In the US I would pick Orlando, I am not sure about out of the country as I would need to travel there first",I would talk to Elon Musk ,Indonesia ,5.0,pizza,Soccer - has to be in person not on the TV,hors d'oeuvre,3,More,2200,"To get something you've never had, you have to do something you never did ",309,A dog,flying,6
1/13/2023 14:30:04,Red Hot Chili Peppers,5'9 ,"Sydney, Australia",my grandpa,Galápagos Islands,5.0,pizza,Brazilian jiu-jitsu,daiquiri,3,Less,1820,Don't let this discourage you ,224,"a pug named Wrigley, cats named Muffin, Booker, Navin, Donkeysah, a guinea pig named BMO, and a bulldog named Jackson",Telekinesis ,5(including shower shoes)
1/13/2023 14:33:08,Taylor Swift,5'6,Chicago,My mom,Somewhere tropical,5.0,pizza,Ballet,hors d'oeuvre,4-5,Less,2030,No one can make you feel inferior without your consent,815,"2 cats, 2 dogs",Shapeshifting,2
1/13/2023 14:36:11,singer songwriter,6'3,Austin TX,warren buffet,tokyo,4.0,no opinion,all sports besides baseball,daiquiri,3,Less,prime Roman Empire or Egypt while they were building the pyramids,"""You miss 100% of the shots you don't take.""",512,2 dogs,being able to read minds,3
1/13/2023 14:40:34,ATEEZ,"5""5'",Bloomington,Jesus,Hawaii,5.0,no opinion,volleyball,hors d'oeuvre,4,Less,0,Let your smile change the world but don't let the world change your smile.,309,none,ability to fly,4
1/13/2023 14:40:58,Zach Bryan,"5' 5""",Dallas,Jesus,Italy,4.0,pizza,football,hors d'oeuvre,3,More,1974,"""We'll become in our lives what we do with our love"" Bob Goff",309,cats,invisibility,8
1/13/2023 14:44:12,Iron Maiden,I would like to stay 6'5,Nashville,Joe Rogan,Mexico,4.0,no opinion,Football/Baseball,hors d'oeuvre,3 or 4,Less,2016,"""Life moves pretty fast, if you don't stop to look around once in a while, you could miss it"" - Ferris Buehler",-217,"I have had three dogs, two cats, and a fish",Super Strength,3
1/13/2023 14:45:46,,,,,,4.0,pizza,Football,hors d'oeuvre,four or less,Less,,,309,a dog,,2
1/13/2023 14:47:05,Bob Dylan or Jeff Buckley,5'2,Amsterdam,My late cousin,Japan,2.0,casserole,Figure Skating,daiquiri,1-2,More,1990's,"""That which does not make a man worse than he was, also does not make his life worse, nor does it harm him either from without or from within"" - Marcus Aurelius",331,"1 dog named Coco, and currently have 1 dog named Douglas",Ability to fly,3
1/13/2023 14:47:51,Baby Keem,5'6,New York,Tennesse Williams,"Beirut, Lebanon",5.0,no opinion,Soccer,hors d'oeuvre,4,More,2003,You miss 100% of the shots you don't take,309,Cats,Telepathy,3
1/13/2023 14:51:21,Miyagi & Andy,6'4,Dubai,Andrew Tate,Antarctica,2.0,no opinion,Soccer,daiquiri,5-6,Less,2100,Stop doing shit you hate ,309,A dog,Controlling numbers,1
1/13/2023 15:43:30,"At the moment soundtracks from movies like casino, goodfellas, donnie brasco ",6'0,Chicago. ,Jesus,Italy. Trip is coming near future.,5.0,pizza,American Football ,lieutenant,1,Less,1990,Never let anyone know what you are thinking.,773,"none, sadly",Teleportation ,5
1/13/2023 18:02:37,The Weeknd,Mine is good (~185),"Almaty, my hometown I guess",To my Great-grandfather,Barbados ,4.0,casserole,UFC,daiquiri,3,Less,2012,Never give up on a dream just because of the time it will take to accomplish it. The time will pass anyway,+7 (Kazakhstan),2 parrots,Absorb any knowledge within seconds,2
1/14/2023 9:54:14,Mac Miller,6'2 (the height I am right now),"Puerto Vallarta, Mexico",Albert Einstein,"Madrid, Spain",5.0,no opinion,Hockey,hors d'oeuvre,1-3,More,Definitely anytime in the 80s!,"""You miss 100% of the shots you don't take"" - Wayne Gretzky",314,"We have always had boxers in my house! Luna was our first boxer, then came Annie and Rosie, and now we have Bubba!","Elemental control, like Storm from the X-Men. Control over the weather and atmosphere would be excellent for many reasons.",4
1/14/2023 14:18:55,"Not sure if I have one, I like a lot of different artists and genres",About 6'5 - 6'7 ,I don't think I have one in mind. There are too many good cities out there ,Mark Cuban,Maldives,4.0,pizza,Soccer,hors d'oeuvre,2-3,Less,1998,"Live like no one else, so later you can Live Like No One Else",,"I had a dog, her name was Michelle, it was Sharpei ",I would have to go with mind reading regardless of what language the person speaks,About 2-3
1/14/2023 16:13:56,The Weekend,6'4,"Portland, Oregon",my dad,Hawaii,3.0,pizza,Volleyball,hors d'oeuvre,6,Less,2007,"""Be yourself; everyone is already taken"" - Oscar Wilde",312,"A dog named Izzy, a dog named maxx, a dog named rocky, a tortise named frankie, and a fish named reggie",super speed,3
1/14/2023 19:54:04,Def Leppard ,6'4,Honoloulou ,God,New Zealand ,5.0,pizza,Football,daiquiri,3 or 4,More,1960,"When you let others affect the type of person you are, they are your master. ",630,dog and bearded dragon ,light manipulation,3
1/16/2023 6:25:34,country artist- Zach Bryan,5'7,San Fransisco ,"Helen Keller, but would need someone to translate",New Zeland,5.0,pizza,Basketball,hors d'oeuvre,8 max,Less,really far into the future...,smiling through adversity,630-,a dog named Sam,teleportation,2
1/16/2023 20:54:04,Juicewrld,6'1,london,Chris Bumstead,"Venice, Italy",4.0,pizza,Basketball,hors d'oeuvre,3,More,1984,"“If you want something you’ve never had, you must be willing to do something you’ve never done.” - Thomas Jefferson ",202,Cat,super speed,4
